feature,component
ingredient_class_count,ingredient_classes
ingredient_class_diversity,ingredient_classes
largest_ingredient_class_share,ingredient_classes
inggrp_meat_poultry_count,ingredient_classes
inggrp_seafood_count,ingredient_classes
inggrp_dairy_count,ingredient_classes
inggrp_eggs_count,ingredient_classes
inggrp_vegetables_count,ingredient_classes
inggrp_fruit_count,ingredient_classes
inggrp_grains_starches_count,ingredient_classes
inggrp_legumes_soy_count,ingredient_classes
inggrp_nuts_seeds_count,ingredient_classes
inggrp_herbs_spices_seasonings_count,ingredient_classes
inggrp_oils_fats_count,ingredient_classes
inggrp_sweeteners_chocolate_count,ingredient_classes
inggrp_sauces_condiments_count,ingredient_classes
inggrp_baking_additives_count,ingredient_classes
inggrp_beverages_alcohol_broth_count,ingredient_classes
prep_minutes,recipe_complexity
cook_minutes,recipe_complexity
total_minutes,recipe_complexity
log_prep_minutes,recipe_complexity
log_cook_minutes,recipe_complexity
log_total_minutes,recipe_complexity
description_word_count,recipe_complexity
title_word_count,recipe_complexity
direction_step_count,recipe_complexity
category_count,recipe_complexity
cuisine_count,recipe_complexity
ingredients_per_step,recipe_complexity
steps_per_ingredient,recipe_complexity
total_minutes_per_ingredient,recipe_complexity
description_words_per_step,recipe_complexity
publication_year,metadata_context
publication_month,metadata_context
carbs,nutrition
fat,nutrition
protein,nutrition
log_calories,nutrition
log_carbs,nutrition
protein_per_calorie,nutrition
fat_per_calorie,nutrition
carbs_per_calorie,nutrition
calories_per_ingredient,nutrition
rating_count,popularity_signal
log_rating_count,popularity_signal
inggrp_meat_poultry_present,ingredient_classes
inggrp_seafood_present,ingredient_classes
inggrp_dairy_present,ingredient_classes
inggrp_eggs_present,ingredient_classes
inggrp_vegetables_present,ingredient_classes
inggrp_fruit_present,ingredient_classes
inggrp_grains_starches_present,ingredient_classes
inggrp_legumes_soy_present,ingredient_classes
inggrp_nuts_seeds_present,ingredient_classes
inggrp_herbs_spices_seasonings_present,ingredient_classes
inggrp_oils_fats_present,ingredient_classes
inggrp_sweeteners_chocolate_present,ingredient_classes
inggrp_sauces_condiments_present,ingredient_classes
inggrp_baking_additives_present,ingredient_classes
inggrp_beverages_alcohol_broth_present,ingredient_classes
ing_all_purpose_flour,individual_ingredients
ing_baking_powder,individual_ingredients
ing_baking_soda,individual_ingredients
ing_beef,individual_ingredients
ing_black_pepper,individual_ingredients
ing_brown_sugar,individual_ingredients
ing_butter,individual_ingredients
ing_carrot,individual_ingredients
ing_cayenne_pepper,individual_ingredients
ing_celery,individual_ingredients
ing_cheddar_cheese,individual_ingredients
ing_chicken_broth,individual_ingredients
ing_chili_powder,individual_ingredients
ing_cilantro,individual_ingredients
ing_cinnamon,individual_ingredients
ing_clove,individual_ingredients
ing_confectioners_sugar,individual_ingredients
ing_cooking_spray,individual_ingredients
ing_cornstarch,individual_ingredients
ing_cumin,individual_ingredients
ing_dried_oregano,individual_ingredients
ing_egg,individual_ingredients
ing_freshly_black_pepper,individual_ingredients
ing_garlic,individual_ingredients
ing_garlic_powder,individual_ingredients
ing_ginger,individual_ingredients
ing_green_bell_pepper,individual_ingredients
ing_green_onion,individual_ingredients
ing_heavy_cream,individual_ingredients
ing_honey,individual_ingredients
ing_kosher_salt,individual_ingredients
ing_large_egg,individual_ingredients
ing_lemon_juice,individual_ingredients
ing_mayonnaise,individual_ingredients
ing_milk,individual_ingredients
ing_mozzarella_cheese,individual_ingredients
ing_nutmeg,individual_ingredients
ing_olive_oil,individual_ingredients
ing_onion,individual_ingredients
ing_onion_powder,individual_ingredients
ing_packed_brown_sugar,individual_ingredients
ing_paprika,individual_ingredients
ing_parmesan_cheese,individual_ingredients
ing_parsley,individual_ingredients
ing_pecan,individual_ingredients
ing_red_bell_pepper,individual_ingredients
ing_red_pepper_flake,individual_ingredients
ing_salt,individual_ingredients
ing_salt_and_black_pepper,individual_ingredients
ing_salt_and_freshly_black_pepper,individual_ingredients
ing_salt_and_pepper,individual_ingredients
ing_sour_cream,individual_ingredients
ing_soy_sauce,individual_ingredients
ing_unsalted_butter,individual_ingredients
ing_vanilla_extract,individual_ingredients
ing_vegetable_oil,individual_ingredients
ing_walnut,individual_ingredients
ing_water,individual_ingredients
ing_white_sugar,individual_ingredients
ing_worcestershire_sauce,individual_ingredients
src_diwali,metadata_context
src_apple_pie,metadata_context
src_butternut_squash_soups,metadata_context
src_cheese_balls,metadata_context
src_fettuccini,metadata_context
src_allrecipes_allstar_recipes,metadata_context
src_beef_stews,metadata_context
src_fajitas,metadata_context
src_omelets,metadata_context
src_canning_and_preserving,metadata_context
src_chicken_noodle_soups,metadata_context
src_chicken_teriyaki,metadata_context
src_chinese,metadata_context
src_chocolate_chip_cookies,metadata_context
src_deviled_eggs,metadata_context
